Date,Symbol,Open,High,Low,Close,Volume,Market Cap
29-04-2018,BTC,9346.41,9531.49,9193.71,9419.08,8853000192,1.58928E+11
30-04-2018,BTC,9426.11,9477.14,9166.81,9240.55,8673920000,1.60302E+11
01-05-2018,BTC,9251.47,9255.88,8891.05,9119.01,7713019904,1.5735E+11
02-05-2018,BTC,9104.6,9256.52,9015.14,9235.92,7558159872,1.54869E+11
03-05-2018,BTC,9233.97,9798.33,9188.15,9743.86,10207299584,1.57087E+11
04-05-2018,BTC,9695.5,9779.2,9585.96,9700.76,8217829888,1.64956E+11
05-05-2018,BTC,9700.28,9964.5,9695.12,9858.15,7651939840,1.65055E+11
06-05-2018,BTC,9845.31,9940.14,9465.25,9654.8,7222280192,1.67541E+11
07-05-2018,BTC,9645.67,9665.85,9231.53,9373.01,7394019840,1.64161E+11
08-05-2018,BTC,9380.87,9462.75,9127.77,9234.82,7415869952,1.59672E+11
09-05-2018,BTC,9223.73,9374.76,9031.62,9325.18,7226890240,1.57013E+11
10-05-2018,BTC,9325.96,9396.04,9040.52,9043.94,6906699776,1.58772E+11
11-05-2018,BTC,9052.96,9052.96,8394.46,8441.49,8488520192,1.54142E+11
12-05-2018,BTC,8441.44,8664.86,8223.5,8504.89,6821380096,1.43743E+11
13-05-2018,BTC,8515.49,8773.55,8395.12,8723.94,5866379776,1.45022E+11
14-05-2018,BTC,8713.1,8881.12,8367.97,8716.79,7364149760,1.48403E+11
15-05-2018,BTC,8705.19,8836.19,8456.45,8510.38,6705710080,1.48283E+11
16-05-2018,BTC,8504.41,8508.43,8175.49,8368.83,6760220160,1.44878E+11
17-05-2018,BTC,8370.05,8445.54,8054.12,8094.32,5862530048,1.42608E+11
18-05-2018,BTC,8091.83,8274.12,7974.82,8250.97,5764190208,1.37881E+11
19-05-2018,BTC,8255.73,8372.06,8183.35,8247.18,4712399872,1.40689E+11
20-05-2018,BTC,8246.99,8562.41,8205.24,8513.25,5191059968,1.40556E+11
21-05-2018,BTC,8522.33,8557.52,8365.12,8418.99,5154990080,1.45264E+11
22-05-2018,BTC,8419.87,8423.25,8004.58,8041.78,5137010176,1.43534E+11
23-05-2018,BTC,8037.08,8054.66,7507.88,7557.82,6491120128,1.37024E+11
24-05-2018,BTC,7561.12,7738.6,7331.14,7587.34,6049220096,1.28925E+11
25-05-2018,BTC,7592.3,7659.14,7392.65,7480.14,4867829760,1.2947E+11
26-05-2018,BTC,7486.48,7595.16,7349.12,7355.88,4051539968,1.27682E+11
27-05-2018,BTC,7362.08,7381.74,7270.96,7368.22,4056519936,1.25575E+11
28-05-2018,BTC,7371.31,7419.05,7100.89,7135.99,5040600064,1.25748E+11
29-05-2018,BTC,7129.46,7526.42,7090.68,7472.59,5662660096,1.21636E+11
30-05-2018,BTC,7469.73,7573.77,7313.6,7406.52,4922540032,1.27454E+11
31-05-2018,BTC,7406.15,7608.9,7361.13,7494.17,5127130112,1.26386E+11
